,gene_id,gene_name,gene_type,unstranded,stranded_first,stranded_second,tpm_unstranded,fpkm_unstranded,fpkm_uq_unstranded,class
59424,ENSG00000287014.1,AC087883.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59425,ENSG00000287015.1,AL161797.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59426,ENSG00000287016.1,AC010996.1,lncRNA,19,7,12,0.96,0.3665,0.4019,1
59427,ENSG00000287017.1,AL591022.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59428,ENSG00000287018.1,AL161717.1,lncRNA,1,0,1,0.0231,0.0088,0.0097,1
59429,ENSG00000287019.1,AC095038.5,lncRNA,0,0,0,0.0,0.0,0.0,1
59430,ENSG00000287020.1,AC091074.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59431,ENSG00000287021.1,AC097462.3,lncRNA,3,1,2,0.0412,0.0157,0.0173,1
59432,ENSG00000287022.1,AC079841.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59433,ENSG00000287023.1,AC018978.1,lncRNA,5,2,3,0.2287,0.0873,0.0957,1
59434,ENSG00000287024.1,AL022162.1,lncRNA,13,5,8,1.9986,0.7631,0.8368,1
59435,ENSG00000287025.1,AC079117.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59436,ENSG00000287026.1,AC068616.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59437,ENSG00000287027.1,AC004464.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59438,ENSG00000287028.1,AP003973.3,lncRNA,0,0,0,0.0,0.0,0.0,1
59439,ENSG00000287029.1,AL162713.2,lncRNA,0,2,2,0.0,0.0,0.0,1
59440,ENSG00000287030.1,AC107032.3,lncRNA,1,1,0,0.0415,0.0158,0.0174,1
59441,ENSG00000287031.1,AC093307.1,lncRNA,2,1,1,0.0448,0.0171,0.0188,1
59442,ENSG00000287032.1,AC018647.3,lncRNA,3,3,0,0.0602,0.023,0.0252,1
59443,ENSG00000287033.1,AL590101.1,lncRNA,3,2,1,0.2689,0.1027,0.1126,1
59444,ENSG00000287034.1,AL050402.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59445,ENSG00000287035.1,AC138470.2,lncRNA,2,0,2,0.1349,0.0515,0.0565,1
59446,ENSG00000287036.1,AC018802.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59447,ENSG00000287037.1,AC097709.1,lncRNA,0,0,4,0.0,0.0,0.0,1
59448,ENSG00000287038.1,AL162388.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59449,ENSG00000287039.1,AC006478.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59450,ENSG00000287040.1,AL590560.5,lncRNA,0,0,0,0.0,0.0,0.0,1
59451,ENSG00000287041.1,AC079354.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59452,ENSG00000287042.1,AC090945.1,lncRNA,3,2,1,0.207,0.079,0.0867,1
59453,ENSG00000287043.1,AL392083.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59454,ENSG00000287044.1,AL139106.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59455,ENSG00000287045.1,AC072028.1,lncRNA,0,11,6,0.0,0.0,0.0,1
59456,ENSG00000287046.1,AC092810.3,lncRNA,5,3,2,0.1552,0.0592,0.065,1
59457,ENSG00000287047.1,AL133395.1,lncRNA,1,1,0,0.0611,0.0233,0.0256,1
59458,ENSG00000287048.1,AC096589.2,lncRNA,6,5,1,0.1994,0.0761,0.0835,1
59459,ENSG00000287049.1,AC124862.1,lncRNA,0,3,3,0.0,0.0,0.0,1
59460,ENSG00000287050.1,AL021917.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59461,ENSG00000287051.1,AC121757.2,lncRNA,20,26,20,0.6569,0.2508,0.275,1
59462,ENSG00000287052.1,AC016240.1,lncRNA,1,1,0,0.0266,0.0102,0.0112,1
59463,ENSG00000287053.1,AC107302.2,lncRNA,0,0,0,0.0,0.0,0.0,1
59464,ENSG00000287054.1,AC113410.5,lncRNA,5,0,5,0.1327,0.0506,0.0555,1
59465,ENSG00000287055.1,AL359813.1,lncRNA,1,0,1,0.0331,0.0127,0.0139,1
59466,ENSG00000287056.1,AL606970.5,lncRNA,2,2,0,0.0493,0.0188,0.0207,1
59467,ENSG00000287057.1,AL358787.1,lncRNA,0,0,0,0.0,0.0,0.0,1
59468,ENSG00000287058.1,AC026271.4,lncRNA,0,0,0,0.0,0.0,0.0,1
59469,ENSG00000287059.1,AC090004.2,lncRNA,124,71,53,1.9968,0.7624,0.836,1
